Voxel count,Max Feret Diameter (nm),Distance,Contact_Type,Distance to closest DSM (nm)
1.0,6.9280474970431385,12nm,ER-KRT,2434.883072055527
1.0,6.9280474970431385,12nm,ER-KRT,589.0466923119675
1.0,6.9280474970431385,12nm,ER-KRT,2763.0128442979185
1.0,6.928080428441202,12nm,ER-KRT,190.07367768608677
1.0,6.928310948227652,12nm,ER-KRT,138.91003902699597
1.0,6.928310948227652,12nm,ER-KRT,3344.7581699874722
1.0,6.928113359839267,12nm,ER-KRT,3575.011078282841
1.0,6.9280474970431385,12nm,ER-KRT,3425.910790610942
1.0,6.928113359839267,12nm,ER-KRT,3420.329903747188
1.0,6.928441315113684,12nm,ER-KRT,2470.310164426337
1.0,6.928071938315139,12nm,ER-KRT,4211.498435324756
1.0,6.9280474970431385,12nm,ER-KRT,3041.478521481622
1.0,6.9280474970431385,12nm,ER-KRT,2778.8371426140657
1.0,6.928112680486154,12nm,ER-KRT,2311.868456672528
1.0,6.928507857262924,12nm,ER-KRT,2737.151817200356
1.0,6.928112680486154,12nm,ER-KRT,2768.9507078321185
1.0,6.928112680486154,12nm,ER-KRT,2760.909865173744
1.0,6.928112680486154,12nm,ER-KRT,2765.1258278638124
1.0,6.928112680486154,12nm,ER-KRT,2777.688223432051
1.0,6.928310948227652,12nm,ER-KRT,2765.97620540997
1.0,6.928112680486154,12nm,ER-KRT,2533.4370548080187
1.0,6.9280474970431385,12nm,ER-KRT,58.514956435828935
1.0,6.928112680486154,12nm,ER-KRT,2274.4318357581506
1.0,6.928178543282282,12nm,ER-KRT,177.2681628153805
1.0,6.928178543282282,12nm,ER-KRT,172.74257402277726
1.0,6.928113359839267,12nm,ER-KRT,186.93313563744601
1.0,6.928178543282282,12nm,ER-KRT,130.10765087528853
1.0,6.928113359839267,12nm,ER-KRT,178.3928240683963
1.0,6.928178543282282,12nm,ER-KRT,107.77754511082095
1.0,6.928112680486154,12nm,ER-KRT,174.9971403341988
2.0,9.793806648011913,12nm,ER-KRT,196.3262548088096
2.0,9.793621962626489,12nm,ER-KRT,2505.4246179934125
2.0,9.797877157900045,12nm,ER-KRT,65.60487975093565
2.0,9.7937143053192,12nm,ER-KRT,132.4839615790552
2.0,9.79385578253243,12nm,ER-KRT,109.17875670202193
2.0,9.7937143053192,12nm,ER-KRT,2969.3933356611524
2.0,9.793666497141947,12nm,ER-KRT,2659.3893380777445
2.0,9.7937143053192,12nm,ER-KRT,77.66595189195868
2.0,9.79373887257946,12nm,ER-KRT,191.91665501239186
2.0,9.793851182527373,12nm,ER-KRT,726.4378609761479
2.0,9.793621962626489,12nm,ER-KRT,2667.358330654679
2.0,9.793621962626489,12nm,ER-KRT,2779.470378300175
2.0,9.793818500708555,12nm,ER-KRT,2658.5710202198243
2.0,9.793666497141947,12nm,ER-KRT,130.47605307292542
2.0,9.7937143053192,12nm,ER-KRT,102.29369706848956
2.0,9.793737235748562,12nm,ER-KRT,238.15961469608737
2.0,9.793671097147003,12nm,ER-KRT,63.74951055931889
2.0,9.79395537791673,12nm,ER-KRT,776.2989184811886
2.0,9.79773792219742,12nm,ER-KRT,105.90562027346097
2.0,9.793621962626489,12nm,ER-KRT,439.7999475713732
2.0,9.7937143053192,12nm,ER-KRT,353.7682857768232
2.0,9.793666497141947,12nm,ER-KRT,2749.027544268756
2.0,9.793621962626489,12nm,ER-KRT,112.71202282614469
2.0,9.793715631662463,12nm,ER-KRT,88.54377142597515
2.0,9.79373887257946,12nm,ER-KRT,25.298220407421468
2.0,9.793763439839717,12nm,ER-KRT,160.9968904858761
2.0,9.793863035224016,12nm,ER-KRT,2272.369783895556
2.0,9.793621962626489,12nm,ER-KRT,109.17874959659457
2.0,9.793621962626489,12nm,ER-KRT,372.6016473137861
2.0,9.79783042464035,12nm,ER-KRT,904.6104310073132
2.0,9.793621962626489,12nm,ER-KRT,3565.705583241652
3.0,13.263469485929818,12nm,ER-KRT,2239.532022940693
3.0,11.999502938209313,12nm,ER-KRT,2952.165459646494
3.0,13.263642961863017,12nm,ER-KRT,2088.7662230961723
3.0,13.263437082316392,12nm,ER-KRT,421.44515077779937
3.0,11.996973546216632,12nm,ER-KRT,55.569774559671714
