 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0001-0001-0332:1,0.579,223.358,0,255,87.591,1,0.50715189,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0002-0001-0332:2,0.524,224.153,0,255,87.903,2,0.46061172,,
3,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0003-0001-0331:3,0.596,249.574,0,255,97.872,3,0.58331712,,
4,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0004-0001-0332:4,0.57,232.333,0,255,91.111,4,0.5193327,,
5,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0005-0001-0331:5,0.592,244.071,0,255,95.714,5,0.56662688,,
6,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0006-0001-0331:6,0.575,249.375,0,255,97.794,6,0.5623155,,
7,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0007-0001-0331:7,0.583,236.522,0,255,92.754,7,0.54075582,,
8,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0008-0001-0330:8,0.6,228.063,0,255,89.437,8,0.536622,,
9,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0009-0001-0331:9,0.613,235.655,0,255,92.414,9,0.56649782,,
10,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0010-0001-0331:10,0.6,233.451,0,255,91.549,10,0.549294,,
11,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0011-0001-0331:11,0.583,214.348,0,255,84.058,11,0.49005814,,
12,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0012-0001-0330:12,0.604,222.902,0,255,87.413,12,0.52797452,,
13,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0013-0001-0332:13,0.558,197.045,0,255,77.273,13,0.43118334,,
14,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0014-0001-0331:14,0.549,217.731,0,255,85.385,14,0.46876365,,
15,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0015-0001-0331:15,0.537,250.984,0,255,98.425,15,0.52854225,,
16,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0016-0001-0331:16,0.592,231.321,0,255,90.714,16,0.53702688,,
17,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0017-0001-0332:17,0.575,251.25,0,255,98.529,17,0.56654175,,
18,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0018-0001-0332:18,0.575,219.375,0,255,86.029,18,0.49466675,,
19,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0019-0001-0330:19,0.532,226.667,0,255,88.889,19,0.47288948,,
20,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0020-0001-0331:20,0.592,209.464,0,255,82.143,20,0.48628656,,
21,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0021-0001-0330:21,0.575,232.5,0,255,91.176,21,0.524262,,
22,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0022-0001-0330:22,0.566,216.94,0,255,85.075,22,0.4815245,,
23,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0023-0001-0330:23,0.537,224.882,0,255,88.189,23,0.47357493,,
24,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0024-0001-0329:24,0.625,225.709,0,255,88.514,24,0.5532125,,
25,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_003_Simple Segmentation.tif:0025-0001-0329:25,0.63,231.04,0,255,90.604,25,0.5708052,,
