 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0001-0001-0417:1,0.089,12.143,0,255,4.762,1,0.00423818,20,5
2,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0002-0001-0416:2,0.165,78.462,0,255,30.769,2,0.05076885,,
3,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0003-0001-0416:3,0.101,21.25,0,255,8.333,3,0.00841633,,
4,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0004-0001-0415:4,0.135,15.938,0,255,6.25,4,0.0084375,,
5,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0005-0001-0415:5,0.123,0,0,0,0,5,0,,
6,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0006-0001-0413:6,0.131,90.484,0,255,35.484,6,0.04648404,,
7,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0007-0001-0413:7,0.139,69.545,0,255,27.273,7,0.03790947,,
8,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0008-0001-0414:8,0.11,88.269,0,255,34.615,8,0.0380765,,
9,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0009-0001-0413:9,0.118,9.107,0,255,3.571,9,0.00421378,,
10,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0010-0001-0414:10,0.123,0,0,0,0,10,0,,
11,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0011-0001-0413:11,0.139,0,0,0,0,11,0,,
12,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0012-0001-0413:12,0.144,0,0,0,0,12,0,,
13,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0013-0001-0414:13,0.144,150,0,255,58.824,13,0.08470656,,
14,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0014-0001-0413:14,0.161,53.684,0,255,21.053,14,0.03389533,,
15,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0015-0001-0414:15,0.127,76.5,0,255,30,15,0.0381,,
16,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0016-0001-0412:16,0.118,18.214,0,255,7.143,16,0.00842874,,
17,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0017-0001-0411:17,0.076,42.5,0,255,16.667,17,0.01266692,,
18,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0018-0001-0411:18,0.148,7.286,0,255,2.857,18,0.00422836,,
19,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0019-0001-0410:19,0.165,26.154,0,255,10.256,19,0.0169224,,
20,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0020-0001-0410:20,0.101,106.25,0,255,41.667,20,0.04208367,,
21,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0021-0001-0409:21,0.182,5.93,0,255,2.326,21,0.00423332,,
22,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0022-0001-0409:22,0.123,96.724,0,255,37.931,22,0.04665513,,
23,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0023-0001-0408:23,0.08,67.105,0,255,26.316,23,0.0210528,,
24,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0024-0001-0407:24,0.097,0,0,0,0,24,0,,
25,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0025-0001-0407:25,0.139,7.727,0,255,3.03,25,0.0042117,,
