 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0001-0001-0447:1,0.215,160,0,255,62.745,1,0.13490175,25,0
2,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0002-0001-0448:2,0.22,230.481,0,255,90.385,2,0.198847,,
3,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0003-0001-0448:3,0.237,191.25,0,255,75,3,0.17775,,
4,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0004-0001-0446:4,0.207,234.184,0,255,91.837,4,0.19010259,,
5,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0005-0001-0445:5,0.215,200,0,255,78.431,5,0.16862665,,
6,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0006-0001-0445:6,0.199,200.745,0,255,78.723,6,0.15665877,,
7,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0007-0001-0444:7,0.262,217.984,0,255,85.484,7,0.22396808,,
8,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0008-0001-0444:8,0.207,244.592,0,255,95.918,8,0.19855026,,
9,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0009-0001-0443:9,0.203,228.438,0,255,89.583,9,0.18185349,,
10,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0010-0001-0443:10,0.232,217.909,0,255,85.455,10,0.1982556,,
11,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0011-0001-0442:11,0.207,182.143,0,255,71.429,11,0.14785803,,
12,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0012-0001-0442:12,0.199,151.915,0,255,59.574,12,0.11855226,,
13,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0013-0001-0442:13,0.203,244.375,0,255,95.833,13,0.19454099,,
14,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0014-0001-0441:14,0.199,195.319,0,255,76.596,14,0.15242604,,
15,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0015-0001-0440:15,0.199,157.34,0,255,61.702,15,0.12278698,,
16,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0016-0001-0440:16,0.19,181.333,0,255,71.111,16,0.1351109,,
17,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0017-0001-0439:17,0.207,218.571,0,255,85.714,17,0.17742798,,
18,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0018-0001-0439:18,0.177,242.857,0,255,95.238,18,0.16857126,,
19,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0019-0001-0439:19,0.177,127.5,0,255,50,19,0.0885,,
20,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0020-0001-0439:20,0.194,221.739,0,255,86.957,20,0.16869658,,
21,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0021-0001-0439:21,0.186,231.818,0,255,90.909,21,0.16909074,,
22,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0022-0001-0438:22,0.194,243.913,0,255,95.652,22,0.18556488,,
23,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0023-0001-0437:23,0.211,183.6,0,255,72,23,0.15192,,
24,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0024-0001-0436:24,0.215,205,0,255,80.392,24,0.1728428,,
25,MAX_Multiply-DP-VAPB-488-561-14PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0025-0001-0436:25,0.211,234.6,0,255,92,25,0.19412,,
