 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0001-0001-0805:1,0.334,196.899,0,255,77.215,1,0.2578981,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0002-0001-0805:2,0.342,185.741,0,255,72.84,2,0.2491128,,
3,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0003-0001-0805:3,0.338,200.812,0,255,78.75,3,0.266175,,
4,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0004-0001-0805:4,0.376,177.64,0,255,69.663,4,0.26193288,,
5,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0005-0001-0805:5,0.33,176.538,0,255,69.231,5,0.2284623,,
6,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0006-0001-0806:6,0.351,153.614,0,255,60.241,6,0.21144591,,
7,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0007-0001-0806:7,0.321,117.434,0,255,46.053,7,0.14783013,,
8,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0008-0001-0807:8,0.368,114.31,0,255,44.828,8,0.16496704,,
9,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0009-0001-0807:9,0.376,137.528,0,255,53.933,9,0.20278808,,
10,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0010-0001-0808:10,0.368,164.138,0,255,64.368,10,0.23687424,,
11,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0011-0001-0809:11,0.342,138.519,0,255,54.321,11,0.18577782,,
12,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0012-0001-0808:12,0.359,135,0,255,52.941,12,0.19005819,,
13,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0013-0001-0809:13,0.355,124.464,0,255,48.81,13,0.1732755,,
14,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0014-0001-0811:14,0.342,125.926,0,255,49.383,14,0.16888986,,
15,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0015-0001-0811:15,0.351,138.253,0,255,54.217,15,0.19030167,,
16,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0016-0001-0812:16,0.338,130.688,0,255,51.25,16,0.173225,,
17,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0017-0001-0812:17,0.346,149.268,0,255,58.537,17,0.20253802,,
18,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0018-0001-0813:18,0.401,147.632,0,255,57.895,18,0.23215895,,
19,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0019-0001-0813:19,0.355,163.929,0,255,64.286,19,0.2282153,,
20,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0020-0001-0814:20,0.338,149.812,0,255,58.75,20,0.198575,,
21,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0021-0001-0814:21,0.342,157.407,0,255,61.728,21,0.21110976,,
22,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0022-0001-0814:22,0.359,186,0,255,72.941,22,0.26185819,,
23,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0023-0001-0815:23,0.351,159.759,0,255,62.651,23,0.21990501,,
24,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0024-0001-0815:24,0.346,195.915,0,255,76.829,24,0.26582834,,
25,MAX_Multiply-DP-VAPB-488-561-12p2PC14PC-5Z-80msSTD_012_Simple Segmentation.tif:0025-0001-0816:25,0.355,185.179,0,255,72.619,25,0.25779745,,
