 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0001-0001-0627:1,0.841,112.764,0,255,44.221,1,0.37189861,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0002-0001-0627:2,0.858,64.064,0,255,25.123,2,0.21555534,,
3,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0003-0001-0626:3,0.858,54.015,0,255,21.182,3,0.18174156,,
4,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0004-0001-0625:4,0.841,71.759,0,255,28.141,4,0.23666581,,
5,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0005-0001-0625:5,0.883,40.263,0,255,15.789,5,0.13941687,,
6,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0006-0001-0626:6,0.879,62.524,0,255,24.519,6,0.21552201,,
7,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0007-0001-0625:7,0.853,47.97,0,255,18.812,7,0.16046636,,
8,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0008-0001-0625:8,0.862,85,0,255,33.333,8,0.28733046,,
9,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0009-0001-0624:9,0.849,72.313,0,255,28.358,9,0.24075942,,
10,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0010-0001-0624:10,0.87,74.272,0,255,29.126,10,0.2533962,,
11,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0011-0001-0624:11,0.87,91.602,0,255,35.922,11,0.3125214,,
12,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0012-0001-0625:12,0.883,100.048,0,255,39.234,12,0.34643622,,
13,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0013-0001-0625:13,0.904,112.009,0,255,43.925,13,0.397082,,
14,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0014-0001-0625:14,0.866,102,0,255,40,14,0.3464,,
15,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0015-0001-0625:15,0.921,77.202,0,255,30.275,15,0.27883275,,
16,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0016-0001-0625:16,0.879,84.591,0,255,33.173,16,0.29159067,,
17,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0017-0001-0625:17,0.9,87.394,0,255,34.272,17,0.308448,,
18,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0018-0001-0625:18,0.858,82.906,0,255,32.512,18,0.27895296,,
19,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0019-0001-0625:19,0.853,122.45,0,255,48.02,19,0.4096106,,
20,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0020-0001-0625:20,0.845,93.075,0,255,36.5,20,0.308425,,
21,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0021-0001-0625:21,0.87,79.223,0,255,31.068,21,0.2702916,,
22,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0022-0001-0626:22,0.841,58.945,0,255,23.116,22,0.19440556,,
23,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0023-0001-0625:23,0.811,62.422,0,255,24.479,23,0.19852469,,
24,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0024-0001-0626:24,0.845,56.1,0,255,22,24,0.1859,,
25,MAX_Multiply-DP-VAPB-488-561-12p1PC14PC-5Z-80msSTD_008_Simple Segmentation.tif:0025-0001-0626:25,0.853,46.708,0,255,18.317,25,0.15624401,,
