 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0001-0001-0172:1,0.131,189.194,0,255,74.194,1,0.09719414,24,1
2,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0002-0001-0171:2,0.144,187.5,0,255,73.529,2,0.10588176,,
3,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0003-0001-0171:3,0.135,159.375,0,255,62.5,3,0.084375,,
4,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0004-0001-0171:4,0.135,159.375,0,255,62.5,4,0.084375,,
5,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0005-0001-0171:5,0.152,113.333,0,255,44.444,5,0.06755488,,
6,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0006-0001-0171:6,0.11,58.846,0,255,23.077,6,0.0253847,,
7,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0007-0001-0170:7,0.144,172.5,0,255,67.647,7,0.09741168,,
8,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0008-0001-0170:8,0.135,135.469,0,255,53.125,8,0.07171875,,
9,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0009-0001-0170:9,0.144,195,0,255,76.471,9,0.11011824,,
10,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0010-0001-0170:10,0.144,0,0,0,0,10,0,,
11,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0011-0001-0169:11,0.127,34,0,255,13.333,11,0.01693291,,
12,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0012-0001-0169:12,0.135,87.656,0,255,34.375,12,0.04640625,,
13,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0013-0001-0168:13,0.148,174.857,0,255,68.571,13,0.10148508,,
14,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0014-0001-0168:14,0.135,239.062,0,255,93.75,14,0.1265625,,
15,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0015-0001-0168:15,0.144,187.5,0,255,73.529,15,0.10588176,,
16,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0016-0001-0167:16,0.156,213.649,0,255,83.784,16,0.13070304,,
17,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0017-0001-0167:17,0.139,255,255,255,100,17,0.139,,
18,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0018-0001-0167:18,0.161,174.474,0,255,68.421,18,0.11015781,,
19,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0019-0001-0166:19,0.114,103.889,0,255,40.741,19,0.04644474,,
20,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0020-0001-0166:20,0.152,21.25,0,255,8.333,20,0.01266616,,
21,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0021-0001-0166:21,0.135,55.781,0,255,21.875,21,0.02953125,,
22,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0022-0001-0167:22,0.161,147.632,0,255,57.895,22,0.09321095,,
23,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0023-0001-0166:23,0.127,93.5,0,255,36.667,23,0.04656709,,
24,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0024-0001-0166:24,0.161,60.395,0,255,23.684,24,0.03813124,,
25,MAX_Multiply-DP-VAPB-488-561-14PC14PC-5Z-80msSTD_007_Simple Segmentation.tif:0025-0001-0165:25,0.169,197.625,0,255,77.5,25,0.130975,,
