 ,Label,Area,Mean,Min,Max,%Area
1,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0001-0013:1,0.287,236.250,0,255,92.647
2,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0002-0012:1,0.106,255.000,255,255,100.000
3,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0003-0016:1,0.182,237.209,0,255,93.023
4,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0004-0014:1,0.025,0.000,0,0,0.000
5,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0005-0019:1,0.275,251.077,0,255,98.462
6,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0006-0029:1,0.139,162.273,0,255,63.636
7,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0007-0036:1,0.093,255.000,255,255,100.000
8,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0008-0037:1,0.021,0.000,0,0,0.000
9,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0009-0044:1,0.220,44.135,0,255,17.308
10,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0010-0048:1,0.110,0.000,0,0,0.000
11,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0011-0048:1,0.072,255.000,255,255,100.000
12,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0012-0052:1,0.097,144.130,0,255,56.522
13,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0013-0054:1,0.114,255.000,255,255,100.000
14,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0014-0056:1,0.182,189.767,0,255,74.419
15,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0015-0056:1,0.165,228.846,0,255,89.744
16,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0016-0055:1,0.034,159.375,0,255,62.500
17,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0017-0062:1,0.139,115.909,0,255,45.455
18,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0018-0063:1,0.097,243.913,0,255,95.652
19,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0019-0068:1,0.237,132.054,0,255,51.786
20,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0020-0068:1,0.114,0.000,0,0,0.000
21,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0021-0069:1,0.177,60.714,0,255,23.810
22,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0022-0071:1,0.156,255.000,255,255,100.000
23,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0023-0073:1,0.169,0.000,0,0,0.000
24,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0024-0079:1,0.258,250.820,0,255,98.361
25,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0025-0078:1,0.021,0.000,0,0,0.000
26,MAX_Multiply-20211213-K14EBS-VAPB-008_SS-NoFil.tif:0001-0026-0084:1,0.203,180.625,0,255,70.833
