 ,Label,Area,Mean,Min,Max,%Area
45,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0045-0289:1,0.076,255.000,255,255,100.000
46,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0046-0290:1,0.068,255.000,255,255,100.000
47,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0047-0298:1,0.055,255.000,255,255,100.000
48,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0048-0299:1,0.021,255.000,255,255,100.000
49,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0049-0311:1,0.110,49.038,0,255,19.231
50,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0050-0312:1,0.106,193.800,0,255,76.000
51,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0051-0335:1,0.135,127.500,0,255,50.000
52,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0052-0352:1,0.021,255.000,255,255,100.000
53,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0053-0361:1,0.025,255.000,255,255,100.000
54,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0054-0395:1,0.072,255.000,255,255,100.000
55,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0055-0397:1,0.110,186.346,0,255,73.077
56,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0056-0412:1,0.068,0.000,0,0,0.000
57,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0057-0418:1,0.106,0.000,0,0,0.000
58,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0058-0461:1,0.021,153.000,0,255,60.000
59,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0059-0467:1,0.025,0.000,0,0,0.000
60,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0060-0473:1,0.080,0.000,0,0,0.000
61,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0061-0518:1,0.042,255.000,255,255,100.000
62,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0062-0527:1,0.030,255.000,255,255,100.000
63,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0063-0535:1,0.021,255.000,255,255,100.000
64,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0064-0552:1,0.127,8.500,0,255,3.333
65,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0065-0552:1,0.072,255.000,255,255,100.000
66,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0066-0561:1,0.106,244.800,0,255,96.000
67,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0067-0577:1,0.025,255.000,255,255,100.000
68,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0068-0582:1,0.068,255.000,255,255,100.000
69,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0069-0582:1,0.046,208.636,0,255,81.818
70,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0070-0589:1,0.059,255.000,255,255,100.000
71,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0071-0590:1,0.030,145.714,0,255,57.143
72,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0072-0600:1,0.021,0.000,0,0,0.000
73,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0073-0607:1,0.025,85.000,0,255,33.333
74,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0074-0611:1,0.131,255.000,255,255,100.000
75,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0075-0611:1,0.025,0.000,0,0,0.000
76,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0076-0614:1,0.030,255.000,255,255,100.000
77,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0077-0619:1,0.177,212.500,0,255,83.333
78,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0078-0618:1,0.089,255.000,255,255,100.000
79,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0079-0618:1,0.063,0.000,0,0,0.000
80,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0080-0628:1,0.042,255.000,255,255,100.000
81,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0081-0631:1,0.030,255.000,255,255,100.000
82,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0082-0636:1,0.173,0.000,0,0,0.000
83,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0083-0636:1,0.114,160.556,0,255,62.963
84,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0084-0636:1,0.080,255.000,255,255,100.000
85,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0085-0637:1,0.025,0.000,0,0,0.000
