 ,Label,Area,Mean,Min,Max,%Area
53,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0053-0373:1,0.211,153.000,0,255,60.000
54,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0054-0373:1,0.101,74.375,0,255,29.167
55,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0055-0374:1,0.173,111.951,0,255,43.902
56,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0056-0381:1,0.089,36.429,0,255,14.286
57,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0057-0383:1,0.169,216.750,0,255,85.000
58,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0058-0383:1,0.148,218.571,0,255,85.714
59,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0059-0384:1,0.165,241.923,0,255,94.872
60,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0060-0389:1,0.330,255.000,255,255,100.000
61,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0061-0393:1,0.144,247.500,0,255,97.059
62,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0062-0397:1,0.313,223.986,0,255,87.838
63,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0063-0397:1,0.076,255.000,255,255,100.000
64,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0064-0399:1,0.097,243.913,0,255,95.652
65,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0065-0404:1,0.342,214.074,0,255,83.951
66,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0066-0400:1,0.135,255.000,255,255,100.000
67,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0067-0402:1,0.144,217.500,0,255,85.294
68,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0068-0403:1,0.101,255.000,255,255,100.000
69,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0069-0406:1,0.245,118.707,0,255,46.552
70,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0070-0407:1,0.165,32.692,0,255,12.821
71,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0071-0407:1,0.085,165.750,0,255,65.000
72,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0072-0409:1,0.080,255.000,255,255,100.000
73,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0073-0418:1,0.173,155.488,0,255,60.976
74,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0074-0423:1,0.123,255.000,255,255,100.000
75,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0075-0426:1,0.190,147.333,0,255,57.778
76,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0076-0431:1,0.114,170.000,0,255,66.667
77,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0077-0437:1,0.431,255.000,255,255,100.000
78,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0078-0433:1,0.156,124.054,0,255,48.649
79,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0079-0431:1,0.021,255.000,255,255,100.000
80,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0080-0434:1,0.127,76.500,0,255,30.000
81,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0081-0438:1,0.262,250.887,0,255,98.387
82,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0082-0434:1,0.055,98.077,0,255,38.462
83,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0083-0438:1,0.085,255.000,255,255,100.000
84,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0084-0439:1,0.017,255.000,255,255,100.000
85,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0085-0443:1,0.139,216.364,0,255,84.848
86,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0086-0449:1,0.131,255.000,255,255,100.000
87,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0087-0450:1,0.211,255.000,255,255,100.000
88,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0088-0448:1,0.051,255.000,255,255,100.000
89,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0089-0449:1,0.106,163.200,0,255,64.000
90,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0090-0449:1,0.063,255.000,255,255,100.000
91,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0091-0452:1,0.118,173.036,0,255,67.857
92,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0092-0454:1,0.148,255.000,255,255,100.000
93,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0093-0452:1,0.025,255.000,255,255,100.000
94,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0094-0452:1,0.030,0.000,0,0,0.000
95,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0095-0458:1,0.224,221.321,0,255,86.792
96,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0096-0459:1,0.177,255.000,255,255,100.000
97,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0097-0460:1,0.097,232.826,0,255,91.304
98,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0098-0465:1,0.359,66.000,0,255,25.882
99,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0099-0465:1,0.228,118.056,0,255,46.296
100,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0100-0463:1,0.097,255.000,255,255,100.000
101,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0101-0465:1,0.034,0.000,0,0,0.000
102,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0102-0475:1,0.207,130.102,0,255,51.020
103,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0103-0477:1,0.292,66.522,0,255,26.087
104,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0104-0480:1,0.165,91.538,0,255,35.897
105,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0105-0481:1,0.097,232.826,0,255,91.304
106,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0106-0491:1,0.038,85.000,0,255,33.333
107,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0107-0494:1,0.085,0.000,0,0,0.000
108,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0108-0499:1,0.021,255.000,255,255,100.000
109,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0109-0508:1,0.135,255.000,255,255,100.000
110,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0110-0507:1,0.072,0.000,0,0,0.000
111,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0111-0511:1,0.418,172.576,0,255,67.677
112,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0112-0527:1,0.093,255.000,255,255,100.000
113,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0113-0534:1,0.342,198.333,0,255,77.778
114,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0114-0533:1,0.123,255.000,255,255,100.000
115,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0115-0535:1,0.270,231.094,0,255,90.625
116,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0116-0536:1,0.051,0.000,0,0,0.000
117,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0117-0538:1,0.097,0.000,0,0,0.000
118,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0118-0542:1,0.093,0.000,0,0,0.000
119,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0119-0547:1,0.106,224.400,0,255,88.000
120,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0120-0557:1,0.046,231.818,0,255,90.909
121,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0121-0564:1,0.283,57.090,0,255,22.388
122,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0122-0562:1,0.106,0.000,0,0,0.000
123,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0123-0565:1,0.076,255.000,255,255,100.000
124,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0124-0573:1,0.089,109.286,0,255,42.857
125,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0125-0579:1,0.258,171.393,0,255,67.213
126,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0126-0583:1,0.161,87.237,0,255,34.211
127,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0127-0586:1,0.106,40.800,0,255,16.000
128,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0128-0589:1,0.034,255.000,255,255,100.000
129,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0129-0592:1,0.169,114.750,0,255,45.000
130,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0130-0594:1,0.258,175.574,0,255,68.852
131,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0131-0594:1,0.089,255.000,255,255,100.000
132,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0132-0598:1,0.190,119.000,0,255,46.667
133,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0133-0597:1,0.123,105.517,0,255,41.379
134,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0134-0601:1,0.275,133.385,0,255,52.308
135,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0135-0600:1,0.118,255.000,255,255,100.000
136,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0136-0602:1,0.114,94.444,0,255,37.037
137,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0137-0606:1,0.085,0.000,0,0,0.000
138,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0138-0608:1,0.270,51.797,0,255,20.312
139,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0139-0609:1,0.093,162.273,0,255,63.636
140,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0140-0614:1,0.266,0.000,0,0,0.000
141,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0141-0615:1,0.237,159.375,0,255,62.500
142,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0142-0617:1,0.097,144.130,0,255,56.522
143,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0143-0618:1,0.135,255.000,255,255,100.000
144,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0144-0620:1,0.372,237.614,0,255,93.182
