 ,Label,Area,Mean,Min,Max,%Area
46,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0046-0119:1,0.144,75.000,0,255,29.412
47,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0047-0120:1,0.080,26.842,0,255,10.526
48,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0048-0124:1,0.118,0.000,0,0,0.000
49,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0049-0125:1,0.161,174.474,0,255,68.421
50,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0050-0124:1,0.038,0.000,0,0,0.000
51,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0051-0126:1,0.068,31.875,0,255,12.500
52,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0052-0127:1,0.127,17.000,0,255,6.667
53,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0053-0128:1,0.169,133.875,0,255,52.500
54,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0054-0127:1,0.093,0.000,0,0,0.000
55,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0055-0141:1,0.169,0.000,0,0,0.000
56,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0056-0139:1,0.046,115.909,0,255,45.455
57,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0057-0143:1,0.114,0.000,0,0,0.000
58,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0058-0142:1,0.106,153.000,0,255,60.000
59,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0059-0144:1,0.165,189.615,0,255,74.359
60,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0060-0145:1,0.131,222.097,0,255,87.097
61,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0061-0147:1,0.089,242.857,0,255,95.238
62,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0062-0151:1,0.101,255.000,255,255,100.000
63,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0063-0155:1,0.021,0.000,0,0,0.000
64,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0064-0162:1,0.139,177.727,0,255,69.697
65,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0065-0163:1,0.101,255.000,255,255,100.000
66,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0066-0163:1,0.055,255.000,255,255,100.000
67,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0067-0174:1,0.021,0.000,0,0,0.000
68,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0068-0179:1,0.042,0.000,0,0,0.000
69,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0069-0182:1,0.152,212.500,0,255,83.333
70,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0070-0182:1,0.135,15.938,0,255,6.250
71,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0071-0181:1,0.046,23.182,0,255,9.091
72,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0072-0182:1,0.156,241.216,0,255,94.595
73,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0073-0182:1,0.089,255.000,255,255,100.000
74,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0074-0183:1,0.106,255.000,255,255,100.000
75,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0075-0190:1,0.135,255.000,255,255,100.000
76,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0076-0197:1,0.093,0.000,0,0,0.000
77,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0077-0197:1,0.085,0.000,0,0,0.000
78,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0078-0200:1,0.139,239.545,0,255,93.939
79,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0079-0203:1,0.203,106.250,0,255,41.667
80,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0080-0212:1,0.059,182.143,0,255,71.429
81,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0081-0214:1,0.139,30.909,0,255,12.121
82,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0082-0217:1,0.118,0.000,0,0,0.000
