 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0001-0001-0702:1,0.549,160.846,0,255,63.077,1,0.34629273,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0002-0001-0702:2,0.532,167.976,0,255,65.873,2,0.35044436,,
3,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0003-0001-0703:3,0.511,145.413,0,255,57.025,3,0.29139775,,
4,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0004-0001-0702:4,0.511,164.38,0,255,64.463,4,0.32940593,,
5,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0005-0001-0703:5,0.515,150.492,0,255,59.016,5,0.3039324,,
6,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0006-0001-0704:6,0.494,115.513,0,255,45.299,6,0.22377706,,
7,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0007-0001-0704:7,0.558,146.818,0,255,57.576,7,0.32127408,,
8,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0008-0001-0704:8,0.566,129.403,0,255,50.746,8,0.28722236,,
9,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0009-0001-0703:9,0.49,118.707,0,255,46.552,9,0.2281048,,
10,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0010-0001-0704:10,0.473,120.67,0,255,47.321,10,0.22382833,,
11,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0011-0001-0703:11,0.486,113.087,0,255,44.348,11,0.21553128,,
12,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0012-0001-0704:12,0.503,117.857,0,255,46.218,12,0.23247654,,
13,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0013-0001-0704:13,0.448,105.849,0,255,41.509,13,0.18596032,,
14,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0014-0001-0704:14,0.482,100.658,0,255,39.474,14,0.19026468,,
15,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0015-0001-0704:15,0.482,161.053,0,255,63.158,15,0.30442156,,
16,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0016-0001-0704:16,0.49,125.302,0,255,49.138,16,0.2407762,,
17,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0017-0001-0704:17,0.486,99.783,0,255,39.13,17,0.1901718,,
18,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0018-0001-0705:18,0.524,115.161,0,255,45.161,18,0.23664364,,
19,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0019-0001-0706:19,0.477,119.602,0,255,46.903,19,0.22372731,,
20,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0020-0001-0707:20,0.507,119,0,255,46.667,20,0.23660169,,
21,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0021-0001-0707:21,0.469,117.162,0,255,45.946,21,0.21548674,,
22,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0022-0001-0709:22,0.545,100.814,0,255,39.535,22,0.21546575,,
23,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0023-0001-0708:23,0.456,113.333,0,255,44.444,23,0.20266464,,
24,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0024-0001-0707:24,0.486,95.348,0,255,37.391,24,0.18172026,,
25,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0025-0001-0707:25,0.452,112.009,0,255,43.925,25,0.198541,,
