 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0001-0001-0452:1,0.858,182.143,0,255,71.429,1,0.61286082,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0002-0001-0453:2,0.913,210.139,0,255,82.407,2,0.75237591,,
3,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0003-0001-0453:3,0.858,184.655,0,255,72.414,3,0.62131212,,
4,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0004-0001-0454:4,0.858,189.68,0,255,74.384,4,0.63821472,,
5,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0005-0001-0454:5,0.849,222.015,0,255,87.065,5,0.73918185,,
6,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0006-0001-0454:6,0.87,194.345,0,255,76.214,6,0.6630618,,
7,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0007-0001-0455:7,0.883,195.215,0,255,76.555,7,0.67598065,,
8,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0008-0001-0456:8,0.828,184.745,0,255,72.449,8,0.59987772,,
9,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0009-0001-0455:9,0.896,193.656,0,255,75.943,9,0.68044928,,
10,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0010-0001-0455:10,0.883,203.756,0,255,79.904,10,0.70555232,,
11,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0011-0001-0456:11,0.849,195.373,0,255,76.617,11,0.65047833,,
12,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0012-0001-0457:12,0.862,207.5,0,255,81.373,12,0.70143526,,
13,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0013-0001-0458:13,0.849,215.672,0,255,84.577,13,0.71805873,,
14,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0014-0001-0459:14,0.87,205.485,0,255,80.583,14,0.7010721,,
15,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0015-0001-0459:15,0.828,197.755,0,255,77.551,15,0.64212228,,
16,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0016-0001-0460:16,0.862,192.5,0,255,75.49,16,0.6507238,,
17,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0017-0001-0461:17,0.875,227.899,0,255,89.372,17,0.782005,,
18,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0018-0001-0462:18,0.841,197.337,0,255,77.387,18,0.65082467,,
19,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0019-0001-0462:19,0.845,237.15,0,255,93,19,0.78585,,
20,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0020-0001-0463:20,0.853,239.851,0,255,94.059,20,0.80232327,,
21,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0021-0001-0463:21,0.866,223.902,0,255,87.805,21,0.7603913,,
22,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0022-0001-0463:22,0.853,238.589,0,255,93.564,22,0.79810092,,
23,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0023-0001-0463:23,0.832,238.173,0,255,93.401,23,0.77709632,,
24,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0024-0001-0463:24,0.862,217.5,0,255,85.294,24,0.73523428,,
25,MAX_Multiply-DP-VAPB-488-561-12p2PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0025-0001-0463:25,0.866,225.146,0,255,88.293,25,0.76461738,,
