 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0001-0001-0440:1,0.241,201.316,0,255,78.947,1,0.19026227,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0002-0001-0441:2,0.275,125.538,0,255,49.231,2,0.13538525,,
3,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0003-0001-0442:3,0.27,171.328,0,255,67.188,3,0.1814076,,
4,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0004-0001-0442:4,0.237,200.357,0,255,78.571,4,0.18621327,,
5,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0005-0001-0443:5,0.283,194.104,0,255,76.119,5,0.21541677,,
6,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0006-0001-0443:6,0.249,172.881,0,255,67.797,6,0.16881453,,
7,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0007-0001-0443:7,0.283,79.925,0,255,31.343,7,0.08870069,,
8,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0008-0001-0444:8,0.262,131.613,0,255,51.613,8,0.13522606,,
9,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0009-0001-0443:9,0.279,108.182,0,255,42.424,9,0.11836296,,
10,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0010-0001-0443:10,0.266,145.714,0,255,57.143,10,0.15200038,,
11,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0011-0001-0443:11,0.262,168.629,0,255,66.129,11,0.17325798,,
12,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0012-0001-0443:12,0.262,164.516,0,255,64.516,12,0.16903192,,
13,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0013-0001-0443:13,0.279,30.909,0,255,12.121,13,0.03381759,,
14,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0014-0001-0444:14,0.283,106.567,0,255,41.791,14,0.11826853,,
15,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0015-0001-0444:15,0.287,116.25,0,255,45.588,15,0.13083756,,
16,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0016-0001-0444:16,0.279,127.5,0,255,50,16,0.1395,,
17,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0017-0001-0444:17,0.292,129.348,0,255,50.725,17,0.148117,,
18,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0018-0001-0445:18,0.292,125.652,0,255,49.275,18,0.143883,,
19,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0019-0001-0445:19,0.351,110.602,0,255,43.373,19,0.15223923,,
20,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0020-0001-0445:20,0.308,157.192,0,255,61.644,20,0.18986352,,
21,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0021-0001-0445:21,0.355,88.036,0,255,34.524,21,0.1225602,,
22,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0022-0001-0445:22,0.346,74.634,0,255,29.268,22,0.10126728,,
23,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0023-0001-0446:23,0.338,127.5,0,255,50,23,0.169,,
24,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0024-0001-0446:24,0.351,150.542,0,255,59.036,24,0.20721636,,
25,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0025-0001-0446:25,0.389,77.609,0,255,30.435,25,0.11839215,,
