 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0001-0001-0309:1,0.575,148.125,0,255,58.088,1,0.334006,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0002-0001-0310:2,0.608,154.062,0,255,60.417,2,0.36733536,,
3,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0003-0001-0310:3,0.549,151.038,0,255,59.231,3,0.32517819,,
4,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0004-0001-0310:4,0.587,152.266,0,255,59.712,4,0.35050944,,
5,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0005-0001-0310:5,0.541,181.289,0,255,71.094,5,0.38461854,,
6,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0006-0001-0310:6,0.592,154.821,0,255,60.714,6,0.35942688,,
7,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0007-0001-0310:7,0.575,196.875,0,255,77.206,7,0.4439345,,
8,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0008-0001-0311:8,0.549,188.308,0,255,73.846,8,0.40541454,,
9,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0009-0001-0311:9,0.541,205.195,0,255,80.469,9,0.43533729,,
10,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0010-0001-0311:10,0.592,193.071,0,255,75.714,10,0.44822688,,
11,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0011-0001-0311:11,0.558,166.136,0,255,65.152,11,0.36354816,,
12,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0012-0001-0312:12,0.549,182.423,0,255,71.538,12,0.39274362,,
13,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0013-0001-0313:13,0.575,196.875,0,255,77.206,13,0.4439345,,
14,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0014-0001-0313:14,0.587,146.763,0,255,57.554,14,0.33784198,,
15,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0015-0001-0314:15,0.566,167.463,0,255,65.672,15,0.37170352,,
16,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0016-0001-0314:16,0.566,207.425,0,255,81.343,16,0.46040138,,
17,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0017-0001-0315:17,0.625,160.236,0,255,62.838,17,0.3927375,,
18,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0018-0001-0314:18,0.57,126.556,0,255,49.63,18,0.282891,,
19,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0019-0001-0315:19,0.613,121.345,0,255,47.586,19,0.29170218,,
20,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0020-0001-0315:20,0.587,117.41,0,255,46.043,20,0.27027241,,
21,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0021-0001-0316:21,0.579,160.073,0,255,62.774,21,0.36346146,,
22,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0022-0001-0316:22,0.625,148.176,0,255,58.108,22,0.363175,,
23,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0023-0001-0315:23,0.659,137.308,0,255,53.846,23,0.35484514,,
24,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0024-0001-0316:24,0.604,156.923,0,255,61.538,24,0.37168952,,
25,MAX_Multiply-DP-VAPB-488-561-12p5PC15PC-5Z-80msSTD_003_Simple Segmentation.tif:0025-0001-0315:25,0.63,140.336,0,255,55.034,25,0.3467142,,
