 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0001-0001-0505:1,0.106,0,0,0,0,1,0,11,14
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0002-0001-0505:2,0.123,52.759,0,255,20.69,2,0.0254487,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0003-0001-0506:3,0.123,0,0,0,0,3,0,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0004-0001-0506:4,0.114,0,0,0,0,4,0,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0005-0001-0505:5,0.139,15.455,0,255,6.061,5,0.00842479,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0006-0001-0505:6,0.144,0,0,0,0,6,0,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0007-0001-0505:7,0.131,16.452,0,255,6.452,7,0.00845212,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0008-0001-0505:8,0.123,0,0,0,0,8,0,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0009-0001-0504:9,0.156,0,0,0,0,9,0,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0010-0001-0505:10,0.152,0,0,0,0,10,0,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0011-0001-0505:11,0.127,0,0,0,0,11,0,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0012-0001-0505:12,0.139,0,0,0,0,12,0,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0013-0001-0504:13,0.165,0,0,0,0,13,0,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0014-0001-0505:14,0.148,0,0,0,0,14,0,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0015-0001-0504:15,0.123,8.793,0,255,3.448,15,0.00424104,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0016-0001-0504:16,0.135,0,0,0,0,16,0,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0017-0001-0503:17,0.123,0,0,0,0,17,0,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0018-0001-0504:18,0.135,0,0,0,0,18,0,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0019-0001-0504:19,0.139,15.455,0,255,6.061,19,0.00842479,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0020-0001-0504:20,0.152,120.417,0,255,47.222,20,0.07177744,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0021-0001-0505:21,0.156,20.676,0,255,8.108,21,0.01264848,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0022-0001-0504:22,0.152,14.167,0,255,5.556,22,0.00844512,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0023-0001-0504:23,0.165,91.538,0,255,35.897,23,0.05923005,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0024-0001-0504:24,0.156,151.622,0,255,59.459,24,0.09275604,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0025-0001-0504:25,0.144,30,0,255,11.765,25,0.0169416,,
