 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0001-0001-0663:1,0.177,12.143,0,255,4.762,1,0.00842874,23,2
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0002-0001-0664:2,0.169,76.5,0,255,30,2,0.0507,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0003-0001-0663:3,0.186,11.591,0,255,4.545,3,0.0084537,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0004-0001-0663:4,0.173,0,0,0,0,4,0,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0005-0001-0663:5,0.156,0,0,0,0,5,0,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0006-0001-0663:6,0.177,6.071,0,255,2.381,6,0.00421437,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0007-0001-0663:7,0.186,34.773,0,255,13.636,7,0.02536296,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0008-0001-0663:8,0.169,25.5,0,255,10,8,0.0169,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0009-0001-0663:9,0.177,72.857,0,255,28.571,9,0.05057067,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0010-0001-0663:10,0.186,5.795,0,255,2.273,10,0.00422778,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0011-0001-0663:11,0.182,35.581,0,255,13.953,11,0.02539446,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0012-0001-0663:12,0.144,97.5,0,255,38.235,12,0.0550584,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0013-0001-0663:13,0.186,17.386,0,255,6.818,13,0.01268148,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0014-0001-0662:14,0.161,154.342,0,255,60.526,14,0.09744686,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0015-0001-0662:15,0.182,88.953,0,255,34.884,15,0.06348888,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0016-0001-0661:16,0.169,146.625,0,255,57.5,16,0.097175,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0017-0001-0661:17,0.177,188.214,0,255,73.81,17,0.1306437,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0018-0001-0661:18,0.194,116.413,0,255,45.652,18,0.08856488,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0019-0001-0661:19,0.199,168.191,0,255,65.957,19,0.13125443,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0020-0001-0661:20,0.186,185.455,0,255,72.727,20,0.13527222,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0021-0001-0660:21,0.169,133.875,0,255,52.5,21,0.088725,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0022-0001-0661:22,0.173,161.707,0,255,63.415,22,0.10970795,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0023-0001-0660:23,0.169,197.625,0,255,77.5,23,0.130975,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0024-0001-0660:24,0.173,199.024,0,255,78.049,24,0.13502477,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_004_Simple Segmentation.tif:0025-0001-0660:25,0.19,209.667,0,255,82.222,25,0.1562218,,
