 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0001-0001-0591:1,1.044,186.862,0,255,73.279,1,0.76503276,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0002-0001-0592:2,1.027,209.877,0,255,82.305,2,0.84527235,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0003-0001-0591:3,1.01,214.456,0,255,84.1,3,0.84941,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0004-0001-0592:4,1.022,210.744,0,255,82.645,4,0.8446319,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0005-0001-0592:5,1.077,229,0,255,89.804,5,0.96718908,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0006-0001-0592:6,1.044,226.093,0,255,88.664,6,0.92565216,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0007-0001-0593:7,1.018,207.386,0,255,81.328,7,0.82791904,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0008-0001-0592:8,1.052,219.157,0,255,85.944,8,0.90413088,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0009-0001-0591:9,1.099,220.673,0,255,86.538,9,0.95105262,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0010-0001-0592:10,1.014,225.25,0,255,88.333,10,0.89569662,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0011-0001-0592:11,1.052,230.422,0,255,90.361,11,0.95059772,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0012-0001-0592:12,1.048,234.435,0,255,91.935,12,0.9634788,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0013-0001-0592:13,1.052,219.157,0,255,85.944,13,0.90413088,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0014-0001-0592:14,1.056,213.18,0,255,83.6,14,0.882816,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0015-0001-0593:15,1.077,221,0,255,86.667,15,0.93340359,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0016-0001-0593:16,1.027,227.716,0,255,89.3,16,0.917111,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0017-0001-0593:17,1.056,214.2,0,255,84,17,0.88704,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0018-0001-0593:18,1.056,218.28,0,255,85.6,18,0.903936,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0019-0001-0593:19,1.052,224.277,0,255,87.952,19,0.92525504,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0020-0001-0593:20,1.065,218.571,0,255,85.714,20,0.9128541,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0021-0001-0594:21,1.082,220.137,0,255,86.328,21,0.93406896,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0022-0001-0594:22,1.077,214,0,255,83.922,22,0.90383994,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0023-0001-0594:23,1.086,202.412,0,255,79.377,23,0.86203422,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0024-0001-0594:24,1.099,208.904,0,255,81.923,24,0.90033377,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_006_Simple Segmentation.tif:0025-0001-0595:25,1.077,214,0,255,83.922,25,0.90383994,,
