 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0001-0001-0708:1,0.127,110.5,0,255,43.333,1,0.05503291,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0002-0001-0709:2,0.131,123.387,0,255,48.387,2,0.06338697,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0003-0001-0709:3,0.144,82.5,0,255,32.353,3,0.04658832,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0004-0001-0709:4,0.097,55.435,0,255,21.739,4,0.02108683,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0005-0001-0710:5,0.135,95.625,0,255,37.5,5,0.050625,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0006-0001-0711:6,0.139,7.727,0,255,3.03,6,0.0042117,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0007-0001-0711:7,0.127,76.5,0,255,30,7,0.0381,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0008-0001-0711:8,0.148,123.857,0,255,48.571,8,0.07188508,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0009-0001-0712:9,0.118,100.179,0,255,39.286,9,0.04635748,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0010-0001-0713:10,0.165,85,0,255,33.333,10,0.05499945,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0011-0001-0713:11,0.123,105.517,0,255,41.379,11,0.05089617,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0012-0001-0714:12,0.123,193.448,0,255,75.862,12,0.09331026,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0013-0001-0715:13,0.127,153,0,255,60,13,0.0762,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0014-0001-0716:14,0.135,239.062,0,255,93.75,14,0.1265625,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0015-0001-0716:15,0.127,221,0,255,86.667,15,0.11006709,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0016-0001-0717:16,0.135,135.469,0,255,53.125,16,0.07171875,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0017-0001-0717:17,0.144,157.5,0,255,61.765,17,0.0889416,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0018-0001-0718:18,0.127,136,0,255,53.333,18,0.06773291,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0019-0001-0718:19,0.123,175.862,0,255,68.966,19,0.08482818,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0020-0001-0719:20,0.127,187,0,255,73.333,20,0.09313291,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0021-0001-0720:21,0.118,191.25,0,255,75,21,0.0885,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0022-0001-0721:22,0.114,245.556,0,255,96.296,22,0.10977744,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0023-0001-0722:23,0.156,158.514,0,255,62.162,23,0.09697272,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0024-0001-0722:24,0.148,174.857,0,255,68.571,24,0.10148508,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0025-0001-0723:25,0.144,127.5,0,255,50,25,0.072,,
