 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0001-0001-0600:1,0.19,90.667,0,255,35.556,1,0.0675564,25,0
2,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0002-0001-0600:2,0.186,133.295,0,255,52.273,2,0.09722778,,
3,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0003-0001-0600:3,0.194,199.565,0,255,78.261,3,0.15182634,,
4,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0004-0001-0599:4,0.177,145.714,0,255,57.143,4,0.10114311,,
5,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0005-0001-0598:5,0.207,135.306,0,255,53.061,5,0.10983627,,
6,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0006-0001-0598:6,0.165,209.231,0,255,82.051,6,0.13538415,,
7,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0007-0001-0598:7,0.228,170,0,255,66.667,7,0.15200076,,
8,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0008-0001-0598:8,0.203,170,0,255,66.667,8,0.13533401,,
9,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0009-0001-0597:9,0.199,179.043,0,255,70.213,9,0.13972387,,
10,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0010-0001-0598:10,0.19,119,0,255,46.667,10,0.0886673,,
11,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0011-0001-0597:11,0.186,156.477,0,255,61.364,11,0.11413704,,
12,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0012-0001-0597:12,0.215,170,0,255,66.667,12,0.14333405,,
13,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0013-0001-0595:13,0.173,192.805,0,255,75.61,13,0.1308053,,
14,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0014-0001-0595:14,0.19,170,0,255,66.667,14,0.1266673,,
15,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0015-0001-0594:15,0.173,192.805,0,255,75.61,15,0.1308053,,
16,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0016-0001-0594:16,0.199,141.064,0,255,55.319,16,0.11008481,,
17,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0017-0001-0593:17,0.165,176.538,0,255,69.231,17,0.11423115,,
18,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0018-0001-0593:18,0.156,220.541,0,255,86.486,18,0.13491816,,
19,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0019-0001-0592:19,0.194,182.935,0,255,71.739,19,0.13917366,,
20,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0020-0001-0592:20,0.173,192.805,0,255,75.61,20,0.1308053,,
21,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0021-0001-0591:21,0.186,173.864,0,255,68.182,21,0.12681852,,
22,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0022-0001-0591:22,0.173,174.146,0,255,68.293,22,0.11814689,,
23,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0023-0001-0590:23,0.156,158.514,0,255,62.162,23,0.09697272,,
24,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0024-0001-0590:24,0.203,138.125,0,255,54.167,24,0.10995901,,
25,MAX_Multiply-DP-VAPB-488-561-13PC15PC-5Z-80msSTD_008_Simple Segmentation.tif:0025-0001-0590:25,0.165,176.538,0,255,69.231,25,0.11423115,,
