 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0001-0001-0868:1,0.245,52.759,0,255,20.69,1,0.0506905,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0002-0001-0869:2,0.258,62.705,0,255,24.59,2,0.0634422,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0003-0001-0869:3,0.245,65.948,0,255,25.862,3,0.0633619,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0004-0001-0870:4,0.245,153.879,0,255,60.345,4,0.14784525,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0005-0001-0870:5,0.249,60.508,0,255,23.729,5,0.05908521,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0006-0001-0872:6,0.283,57.09,0,255,22.388,6,0.06335804,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0007-0001-0871:7,0.262,65.806,0,255,25.806,7,0.06761172,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0008-0001-0871:8,0.266,93.095,0,255,36.508,8,0.09711128,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0009-0001-0871:9,0.258,4.18,0,255,1.639,9,0.00422862,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0010-0001-0872:10,0.275,27.462,0,255,10.769,10,0.02961475,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0011-0001-0871:11,0.279,61.818,0,255,24.242,11,0.06763518,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0012-0001-0872:12,0.266,93.095,0,255,36.508,12,0.09711128,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0013-0001-0873:13,0.258,142.131,0,255,55.738,13,0.14380404,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0014-0001-0873:14,0.266,157.857,0,255,61.905,14,0.1646673,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0015-0001-0874:15,0.254,127.5,0,255,50,15,0.127,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0016-0001-0874:16,0.275,160.846,0,255,63.077,16,0.17346175,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0017-0001-0874:17,0.266,165.952,0,255,65.079,17,0.17311014,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0018-0001-0875:18,0.262,111.048,0,255,43.548,18,0.11409576,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0019-0001-0876:19,0.266,121.429,0,255,47.619,19,0.12666654,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0020-0001-0877:20,0.266,76.905,0,255,30.159,20,0.08022294,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0021-0001-0877:21,0.249,99.407,0,255,38.983,21,0.09706767,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0022-0001-0878:22,0.27,83.672,0,255,32.812,22,0.0885924,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0023-0001-0879:23,0.245,162.672,0,255,63.793,23,0.15629285,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0024-0001-0879:24,0.245,17.586,0,255,6.897,24,0.01689765,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_005_Simple Segmentation.tif:0025-0001-0880:25,0.258,87.787,0,255,34.426,25,0.08881908,,
