 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0001-0001-0462:1,0.63,133.49,0,255,52.349,1,0.3297987,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0002-0001-0462:2,0.57,124.667,0,255,48.889,2,0.2786673,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0003-0001-0463:3,0.613,119.586,0,255,46.897,3,0.28747861,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0004-0001-0463:4,0.613,154.759,0,255,60.69,4,0.3720297,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0005-0001-0462:5,0.604,128.392,0,255,50.35,5,0.304114,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0006-0001-0462:6,0.549,176.538,0,255,69.231,6,0.38007819,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0007-0001-0462:7,0.6,161.62,0,255,63.38,7,0.38028,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0008-0001-0462:8,0.575,176.25,0,255,69.118,8,0.3974285,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0009-0001-0461:9,0.549,166.731,0,255,65.385,9,0.35896365,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0010-0001-0462:10,0.621,159.592,0,255,62.585,10,0.38865285,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0011-0001-0462:11,0.608,136.354,0,255,53.472,11,0.32510976,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0012-0001-0462:12,0.583,170,0,255,66.667,12,0.38866861,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0013-0001-0461:13,0.553,134.313,0,255,52.672,13,0.29127616,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0014-0001-0462:14,0.566,133.209,0,255,52.239,14,0.29567274,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0015-0001-0463:15,0.562,155.301,0,255,60.902,15,0.34226924,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0016-0001-0463:16,0.57,126.556,0,255,49.63,16,0.282891,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0017-0001-0463:17,0.558,137.159,0,255,53.788,17,0.30013704,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0018-0001-0464:18,0.541,181.289,0,255,71.094,18,0.38461854,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0019-0001-0464:19,0.532,161.905,0,255,63.492,19,0.33777744,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0020-0001-0464:20,0.558,175.795,0,255,68.939,20,0.38467962,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0021-0001-0464:21,0.583,149.674,0,255,58.696,21,0.34219768,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0022-0001-0465:22,0.575,153.75,0,255,60.294,22,0.3466905,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0023-0001-0465:23,0.562,207.068,0,255,81.203,23,0.45636086,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0024-0001-0465:24,0.566,216.94,0,255,85.075,24,0.4815245,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_007_Simple Segmentation.tif:0025-0001-0466:25,0.553,200.496,0,255,78.626,25,0.43480178,,
