 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0001-0001-0293:1,0.439,220.673,0,255,86.538,1,0.37990182,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0002-0001-0293:2,0.414,213.367,0,255,83.673,2,0.34640622,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0003-0001-0292:3,0.397,233.298,0,255,91.489,3,0.36321133,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0004-0001-0293:4,0.389,238.37,0,255,93.478,4,0.36362942,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0005-0001-0293:5,0.38,246.5,0,255,96.667,5,0.3673346,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0006-0001-0292:6,0.393,238.548,0,255,93.548,6,0.36764364,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0007-0001-0292:7,0.376,240.674,0,255,94.382,7,0.35487632,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0008-0001-0292:8,0.384,204.56,0,255,80.22,8,0.3080448,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0009-0001-0292:9,0.393,238.548,0,255,93.548,9,0.36764364,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0010-0001-0292:10,0.355,224.643,0,255,88.095,10,0.31273725,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0011-0001-0293:11,0.393,252.258,0,255,98.925,11,0.38877525,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0012-0001-0295:12,0.435,252.524,0,255,99.029,12,0.43077615,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0013-0001-0294:13,0.376,240.674,0,255,94.382,13,0.35487632,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0014-0001-0294:14,0.397,227.872,0,255,89.362,14,0.35476714,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0015-0001-0294:15,0.38,235.167,0,255,92.222,15,0.3504436,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0016-0001-0294:16,0.393,244.032,0,255,95.699,16,0.37609707,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0017-0001-0294:17,0.427,239.851,0,255,94.059,17,0.40163193,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0018-0001-0295:18,0.406,223.125,0,255,87.5,18,0.35525,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0019-0001-0294:19,0.401,228.158,0,255,89.474,19,0.35879074,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0020-0001-0294:20,0.384,229.78,0,255,90.11,20,0.3460224,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0021-0001-0294:21,0.376,229.213,0,255,89.888,21,0.33797888,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0022-0001-0295:22,0.397,244.149,0,255,95.745,22,0.38010765,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0023-0001-0294:23,0.406,212.5,0,255,83.333,23,0.33833198,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0024-0001-0294:24,0.414,179.541,0,255,70.408,24,0.29148912,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_001_Simple Segmentation.tif:0025-0001-0295:25,0.393,219.355,0,255,86.022,25,0.33806646,,
