 ,Label,Area,Mean,Min,Max,%Area,Timepoint,Area occupied,Contact,No contact
1,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0001-0001-0463:1,0.659,160.192,0,255,62.821,1,0.41399039,25,0
2,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0002-0001-0463:2,0.668,175.918,0,255,68.987,2,0.46083316,,
3,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0003-0001-0463:3,0.714,156.923,0,255,61.538,3,0.43938132,,
4,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0004-0001-0462:4,0.689,170.521,0,255,66.871,4,0.46074119,,
5,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0005-0001-0462:5,0.714,164.467,0,255,64.497,5,0.46050858,,
6,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0006-0001-0462:6,0.693,113.506,0,255,44.512,6,0.30846816,,
7,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0007-0001-0462:7,0.697,163.818,0,255,64.242,7,0.44776674,,
8,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0008-0001-0462:8,0.706,157.275,0,255,61.677,8,0.43543962,,
9,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0009-0001-0461:9,0.659,168.365,0,255,66.026,9,0.43511134,,
10,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0010-0001-0461:10,0.701,195.09,0,255,76.506,10,0.53630706,,
11,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0011-0001-0461:11,0.71,188.214,0,255,73.81,11,0.524051,,
12,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0012-0001-0460:12,0.676,200.812,0,255,78.75,12,0.53235,,
13,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0013-0001-0460:13,0.693,195.915,0,255,76.829,13,0.53242497,,
14,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0014-0001-0460:14,0.684,173.148,0,255,67.901,14,0.46444284,,
15,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0015-0001-0459:15,0.714,190.118,0,255,74.556,15,0.53232984,,
16,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0016-0001-0459:16,0.672,190.849,0,255,74.843,16,0.50294496,,
17,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0017-0001-0459:17,0.714,182.574,0,255,71.598,17,0.51120972,,
18,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0018-0001-0458:18,0.744,159.375,0,255,62.5,18,0.465,,
19,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0019-0001-0459:19,0.731,179.827,0,255,70.52,19,0.5155012,,
20,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0020-0001-0458:20,0.722,186.404,0,255,73.099,20,0.52777478,,
21,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0021-0001-0458:21,0.71,180.625,0,255,70.833,21,0.5029143,,
22,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0022-0001-0457:22,0.668,188.829,0,255,74.051,22,0.49466068,,
23,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0023-0001-0457:23,0.689,181.472,0,255,71.166,23,0.49033374,,
24,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0024-0001-0456:24,0.701,167.44,0,255,65.663,24,0.46029763,,
25,MAX_Multiply-DP-VAPB-488-561-12p3PC15PC-5Z-80msSTD_010_Simple Segmentation.tif:0025-0001-0457:25,0.714,165.976,0,255,65.089,25,0.46473546,,
